sweep_type,param_value,lat,lon,alt,pitch,yaw,roll,rendered,hit,false_positives,false_negatives
Altitude,0.00001,0,0,0.00001,-90,0,0,36,22,14,0
Altitude,0.000011481537,0,0,0.000011481537,-90,0,0,36,24,12,0
Altitude,0.000013182567,0,0,0.000013182567,-90,0,0,38,24,14,0
Altitude,0.000015135613,0,0,0.000015135613,-90,0,0,38,24,14,0
Altitude,0.000017378008,0,0,0.000017378008,-90,0,0,36,24,12,0
Altitude,0.000019952624,0,0,0.000019952624,-90,0,0,36,24,12,0
Altitude,0.000022908675,0,0,0.000022908675,-90,0,0,36,26,10,0
Altitude,0.00002630268,0,0,0.00002630268,-90,0,0,38,26,12,0
Altitude,0.000030199515,0,0,0.000030199515,-90,0,0,38,26,12,0
Altitude,0.000034673685,0,0,0.000034673685,-90,0,0,34,24,10,0
Altitude,0.000039810715,0,0,0.000039810715,-90,0,0,34,24,10,0
Altitude,0.000045708817,0,0,0.000045708817,-90,0,0,34,24,10,0
Altitude,0.000052480744,0,0,0.000052480744,-90,0,0,34,28,6,0
Altitude,0.000060255956,0,0,0.000060255956,-90,0,0,34,30,4,0
Altitude,0.000069183094,0,0,0.000069183094,-90,0,0,32,24,8,0
Altitude,0.00007943283,0,0,0.00007943283,-90,0,0,32,22,10,0
Altitude,0.00009120107,0,0,0.00009120107,-90,0,0,32,24,8,0
Altitude,0.00010471285,0,0,0.00010471285,-90,0,0,34,24,10,0
Altitude,0.000120226454,0,0,0.000120226454,-90,0,0,34,24,10,0
Altitude,0.00013803842,0,0,0.00013803842,-90,0,0,30,20,10,0
Altitude,0.00015848932,0,0,0.00015848932,-90,0,0,30,20,10,0
Altitude,0.00018197006,0,0,0.00018197006,-90,0,0,30,22,8,0
Altitude,0.0002089296,0,0,0.0002089296,-90,0,0,30,24,6,0
Altitude,0.0002398833,0,0,0.0002398833,-90,0,0,32,24,8,0
Altitude,0.00027542285,0,0,0.00027542285,-90,0,0,28,20,8,0
Altitude,0.00031622776,0,0,0.00031622776,-90,0,0,28,22,6,0
Altitude,0.000363078,0,0,0.000363078,-90,0,0,28,24,4,0
Altitude,0.0004168694,0,0,0.0004168694,-90,0,0,30,26,4,0
Altitude,0.0004786301,0,0,0.0004786301,-90,0,0,30,26,4,0
Altitude,0.0005495408,0,0,0.0005495408,-90,0,0,26,20,6,0
Altitude,0.0006309574,0,0,0.0006309574,-90,0,0,26,22,4,0
Altitude,0.00072443596,0,0,0.00072443596,-90,0,0,26,22,4,0
Altitude,0.00083176367,0,0,0.00083176367,-90,0,0,26,22,4,0
Altitude,0.0009549927,0,0,0.0009549927,-90,0,0,26,22,4,0
Altitude,0.0010964782,0,0,0.0010964782,-90,0,0,24,20,4,0
Altitude,0.0012589253,0,0,0.0012589253,-90,0,0,24,22,2,0
Altitude,0.00144544,0,0,0.00144544,-90,0,0,24,20,4,0
Altitude,0.0016595869,0,0,0.0016595869,-90,0,0,26,22,4,0
Altitude,0.0019054606,0,0,0.0019054606,-90,0,0,26,22,4,0
Altitude,0.0021877612,0,0,0.0021877612,-90,0,0,22,18,4,0
Altitude,0.0025118866,0,0,0.0025118866,-90,0,0,22,20,2,0
Altitude,0.0028840313,0,0,0.0028840313,-90,0,0,22,20,2,0
Altitude,0.0033113107,0,0,0.0033113107,-90,0,0,22,20,2,0
Altitude,0.0038018941,0,0,0.0038018941,-90,0,0,22,22,0,0
Altitude,0.004365158,0,0,0.004365158,-90,0,0,20,18,2,0
Altitude,0.0050118715,0,0,0.0050118715,-90,0,0,20,18,2,0
Altitude,0.0057544,0,0,0.0057544,-90,0,0,20,18,2,0
Altitude,0.006606934,0,0,0.006606934,-90,0,0,22,18,4,0
Altitude,0.007585774,0,0,0.007585774,-90,0,0,22,18,4,0
Altitude,0.0087096365,0,0,0.0087096365,-90,0,0,18,16,2,0
Altitude,0.01,0,0,0.01,-90,0,0,18,16,2,0
Altitude,0.011481534,0,0,0.011481534,-90,0,0,18,18,0,0
Altitude,0.013182563,0,0,0.013182563,-90,0,0,18,18,0,0
Altitude,0.015135607,0,0,0.015135607,-90,0,0,18,18,0,0
Altitude,0.017378014,0,0,0.017378014,-90,0,0,16,14,2,0
Altitude,0.019952627,0,0,0.019952627,-90,0,0,16,14,2,0
Altitude,0.022908676,0,0,0.022908676,-90,0,0,16,14,2,0
Altitude,0.026302677,0,0,0.026302677,-90,0,0,18,14,4,0
Altitude,0.03019951,0,0,0.03019951,-90,0,0,18,14,4,0
Altitude,0.034673672,0,0,0.034673672,-90,0,0,14,14,0,0
Altitude,0.03981073,0,0,0.03981073,-90,0,0,14,14,0,0
Altitude,0.045708828,0,0,0.045708828,-90,0,0,14,14,0,0
Altitude,0.052480746,0,0,0.052480746,-90,0,0,14,14,0,0
Altitude,0.060255956,0,0,0.060255956,-90,0,0,14,14,0,0
Altitude,0.06918308,0,0,0.06918308,-90,0,0,12,10,2,0
Altitude,0.07943279,0,0,0.07943279,-90,0,0,12,10,2,0
Altitude,0.09120111,0,0,0.09120111,-90,0,0,12,10,2,0
Altitude,0.10471288,0,0,0.10471288,-90,0,0,14,10,4,0
Altitude,0.12022645,0,0,0.12022645,-90,0,0,14,10,4,0
Altitude,0.13803841,0,0,0.13803841,-90,0,0,10,8,2,0
Altitude,0.15848929,0,0,0.15848929,-90,0,0,10,10,0,0
Altitude,0.18197003,0,0,0.18197003,-90,0,0,10,10,0,0
Altitude,0.20892969,0,0,0.20892969,-90,0,0,10,10,0,0
Altitude,0.23988335,0,0,0.23988335,-90,0,0,8,6,2,0
Altitude,0.2754229,0,0,0.2754229,-90,0,0,8,6,2,0
Altitude,0.31622776,0,0,0.31622776,-90,0,0,8,6,2,0
Altitude,0.363078,0,0,0.363078,-90,0,0,8,4,4,0
Altitude,0.41686925,0,0,0.41686925,-90,0,0,8,2,6,0
Altitude,0.47862992,0,0,0.47862992,-90,0,0,6,2,4,0
Altitude,0.54954106,0,0,0.54954106,-90,0,0,4,0,4,0
Altitude,0.6309574,0,0,0.6309574,-90,0,0,0,0,0,0
Altitude,0.724436,0,0,0.724436,-90,0,0,0,0,0,0
Altitude,0.8317636,0,0,0.8317636,-90,0,0,0,0,0,0
Altitude,0.9549923,0,0,0.9549923,-90,0,0,0,0,0,0
Altitude,1.0964777,0,0,1.0964777,-90,0,0,0,0,0,0
Altitude,1.2589258,0,0,1.2589258,-90,0,0,0,0,0,0
Altitude,1.4454399,0,0,1.4454399,-90,0,0,0,0,0,0
Altitude,1.659587,0,0,1.659587,-90,0,0,0,0,0,0
Altitude,1.9054606,0,0,1.9054606,-90,0,0,0,0,0,0
Altitude,2.1877613,0,0,2.1877613,-90,0,0,0,0,0,0
Altitude,2.5118856,0,0,2.5118856,-90,0,0,0,0,0,0
Altitude,2.8840325,0,0,2.8840325,-90,0,0,0,0,0,0
Altitude,3.3113117,0,0,3.3113117,-90,0,0,0,0,0,0
Altitude,3.8018942,0,0,3.8018942,-90,0,0,0,0,0,0
Altitude,4.365158,0,0,4.365158,-90,0,0,0,0,0,0
Altitude,5.0118713,0,0,5.0118713,-90,0,0,0,0,0,0
Altitude,5.7543974,0,0,5.7543974,-90,0,0,0,0,0,0
Altitude,6.606937,0,0,6.606937,-90,0,0,0,0,0,0
Altitude,7.5857773,0,0,7.5857773,-90,0,0,0,0,0,0
Altitude,8.709637,0,0,8.709637,-90,0,0,0,0,0,0
Altitude,10,0,0,10,-90,0,0,0,0,0,0
Pitch,-90,0,0,0.1,-90,0,0,14,10,4,0
Pitch,-88.2,0,0,0.1,-88.2,0,0,14,10,4,0
Pitch,-86.4,0,0,0.1,-86.4,0,0,14,10,4,0
Pitch,-84.6,0,0,0.1,-84.6,0,0,14,10,4,0
Pitch,-82.8,0,0,0.1,-82.8,0,0,14,10,4,0
Pitch,-81,0,0,0.1,-81,0,0,14,10,4,0
Pitch,-79.2,0,0,0.1,-79.2,0,0,18,14,4,0
Pitch,-77.4,0,0,0.1,-77.4,0,0,18,14,4,0
Pitch,-75.6,0,0,0.1,-75.6,0,0,18,14,4,0
Pitch,-73.8,0,0,0.1,-73.8,0,0,18,14,4,0
Pitch,-72,0,0,0.1,-72,0,0,18,14,4,0
Pitch,-70.2,0,0,0.1,-70.2,0,0,18,14,4,0
Pitch,-68.4,0,0,0.1,-68.4,0,0,18,14,4,0
Pitch,-66.6,0,0,0.1,-66.6,0,0,18,16,2,0
Pitch,-64.8,0,0,0.1,-64.8,0,0,18,14,4,0
Pitch,-63,0,0,0.1,-63,0,0,18,14,4,0
Pitch,-61.2,0,0,0.1,-61.2,0,0,18,14,4,0
Pitch,-59.4,0,0,0.1,-59.4,0,0,22,18,4,0
Pitch,-57.6,0,0,0.1,-57.6,0,0,22,18,4,0
Pitch,-55.8,0,0,0.1,-55.8,0,0,22,18,4,0
Pitch,-54,0,0,0.1,-54,0,0,22,16,6,0
Pitch,-52.2,0,0,0.1,-52.2,0,0,20,16,4,0
Pitch,-50.4,0,0,0.1,-50.4,0,0,18,14,4,0
Pitch,-48.6,0,0,0.1,-48.6,0,0,18,14,4,0
Pitch,-46.8,0,0,0.1,-46.8,0,0,18,12,6,0
Pitch,-45,0,0,0.1,-45,0,0,16,12,4,0
Pitch,-43.2,0,0,0.1,-43.2,0,0,14,12,2,0
Pitch,-41.399998,0,0,0.1,-41.399998,0,0,12,12,0,0
Pitch,-39.6,0,0,0.1,-39.6,0,0,12,10,2,0
Pitch,-37.800003,0,0,0.1,-37.800003,0,0,12,10,2,0
Pitch,-35.999996,0,0,0.1,-35.999996,0,0,12,10,2,0
Pitch,-34.2,0,0,0.1,-34.2,0,0,12,10,2,0
Pitch,-32.4,0,0,0.1,-32.4,0,0,10,8,2,0
Pitch,-30.599998,0,0,0.1,-30.599998,0,0,8,8,0,0
Pitch,-28.8,0,0,0.1,-28.8,0,0,8,8,0,0
Pitch,-27,0,0,0.1,-27,0,0,8,8,0,0
Pitch,-25.199997,0,0,0.1,-25.199997,0,0,8,8,0,0
Pitch,-23.400002,0,0,0.1,-23.400002,0,0,8,8,0,0
Pitch,-21.599998,0,0,0.1,-21.599998,0,0,10,10,0,0
Pitch,-19.800003,0,0,0.1,-19.800003,0,0,10,10,0,0
Pitch,-18,0,0,0.1,-18,0,0,10,10,0,0
Pitch,-16.199997,0,0,0.1,-16.199997,0,0,10,10,0,0
Pitch,-14.400002,0,0,0.1,-14.400002,0,0,8,6,2,0
Pitch,-12.599998,0,0,0.1,-12.599998,0,0,6,6,0,0
Pitch,-10.800003,0,0,0.1,-10.800003,0,0,6,6,0,0
Pitch,-9,0,0,0.1,-9,0,0,6,6,0,0
Pitch,-7.199997,0,0,0.1,-7.199997,0,0,6,6,0,0
Pitch,-5.4000015,0,0,0.1,-5.4000015,0,0,6,4,2,0
Pitch,-3.5999985,0,0,0.1,-3.5999985,0,0,6,4,2,0
Pitch,-1.7999954,0,0,0.1,-1.7999954,0,0,6,4,2,0
Pitch,0,0,0,0.1,0,0,0,4,4,0,0
Pitch,1.7999954,0,0,0.1,1.7999954,0,0,6,4,2,0
Pitch,3.5999985,0,0,0.1,3.5999985,0,0,6,4,2,0
Pitch,5.399994,0,0,0.1,5.399994,0,0,6,4,2,0
Pitch,7.2000046,0,0,0.1,7.2000046,0,0,6,6,0,0
Pitch,9,0,0,0.1,9,0,0,6,6,0,0
Pitch,10.800003,0,0,0.1,10.800003,0,0,6,6,0,0
Pitch,12.599998,0,0,0.1,12.599998,0,0,6,6,0,0
Pitch,14.399994,0,0,0.1,14.399994,0,0,8,6,2,0
Pitch,16.199997,0,0,0.1,16.199997,0,0,10,10,0,0
Pitch,18.000008,0,0,0.1,18.000008,0,0,10,10,0,0
Pitch,19.800003,0,0,0.1,19.800003,0,0,10,10,0,0
Pitch,21.599998,0,0,0.1,21.599998,0,0,10,10,0,0
Pitch,23.400002,0,0,0.1,23.400002,0,0,8,8,0,0
Pitch,25.199997,0,0,0.1,25.199997,0,0,8,8,0,0
Pitch,26.999992,0,0,0.1,26.999992,0,0,8,8,0,0
Pitch,28.800003,0,0,0.1,28.800003,0,0,8,8,0,0
Pitch,30.600006,0,0,0.1,30.600006,0,0,8,8,0,0
Pitch,32.4,0,0,0.1,32.4,0,0,10,8,2,0
Pitch,34.199997,0,0,0.1,34.199997,0,0,12,10,2,0
Pitch,36,0,0,0.1,36,0,0,12,10,2,0
Pitch,37.799995,0,0,0.1,37.799995,0,0,12,10,2,0
Pitch,39.600006,0,0,0.1,39.600006,0,0,12,10,2,0
Pitch,41.40001,0,0,0.1,41.40001,0,0,12,12,0,0
Pitch,43.199997,0,0,0.1,43.199997,0,0,14,12,2,0
Pitch,45,0,0,0.1,45,0,0,16,12,4,0
Pitch,46.800003,0,0,0.1,46.800003,0,0,18,12,6,0
Pitch,48.59999,0,0,0.1,48.59999,0,0,18,14,4,0
Pitch,50.399994,0,0,0.1,50.399994,0,0,18,14,4,0
Pitch,52.199997,0,0,0.1,52.199997,0,0,20,16,4,0
Pitch,54,0,0,0.1,54,0,0,22,16,6,0
Pitch,55.800003,0,0,0.1,55.800003,0,0,22,18,4,0
Pitch,57.600006,0,0,0.1,57.600006,0,0,22,18,4,0
Pitch,59.399994,0,0,0.1,59.399994,0,0,22,18,4,0
Pitch,61.199997,0,0,0.1,61.199997,0,0,18,14,4,0
Pitch,63,0,0,0.1,63,0,0,18,14,4,0
Pitch,64.8,0,0,0.1,64.8,0,0,18,14,4,0
Pitch,66.600006,0,0,0.1,66.600006,0,0,18,14,4,0
Pitch,68.399994,0,0,0.1,68.399994,0,0,18,14,4,0
Pitch,70.2,0,0,0.1,70.2,0,0,18,14,4,0
Pitch,72,0,0,0.1,72,0,0,18,16,2,0
Pitch,73.8,0,0,0.1,73.8,0,0,18,14,4,0
Pitch,75.600006,0,0,0.1,75.600006,0,0,18,14,4,0
Pitch,77.399994,0,0,0.1,77.399994,0,0,18,14,4,0
Pitch,79.2,0,0,0.1,79.2,0,0,18,12,6,0
Pitch,81,0,0,0.1,81,0,0,14,10,4,0
Pitch,82.8,0,0,0.1,82.8,0,0,14,12,2,0
Pitch,84.600006,0,0,0.1,84.600006,0,0,14,11,3,0
Pitch,86.40001,0,0,0.1,86.40001,0,0,14,12,2,0
Pitch,88.2,0,0,0.1,88.2,0,0,14,10,4,0
Pitch,90,0,0,0.1,90,0,0,14,10,4,0
Roll,-180,0,0,0.1,-45,0,-180,16,12,4,0
Roll,-176.4,0,0,0.1,-45,0,-176.4,15,12,3,0
Roll,-172.8,0,0,0.1,-45,0,-172.8,16,13,3,0
Roll,-169.2,0,0,0.1,-45,0,-169.2,17,13,4,0
Roll,-165.6,0,0,0.1,-45,0,-165.6,17,12,5,0
Roll,-162,0,0,0.1,-45,0,-162,17,12,5,0
Roll,-158.4,0,0,0.1,-45,0,-158.4,15,13,2,0
Roll,-154.8,0,0,0.1,-45,0,-154.8,15,13,2,0
Roll,-151.2,0,0,0.1,-45,0,-151.2,17,12,5,0
Roll,-147.6,0,0,0.1,-45,0,-147.6,16,12,4,0
Roll,-144,0,0,0.1,-45,0,-144,15,13,2,0
Roll,-140.4,0,0,0.1,-45,0,-140.4,15,13,2,0
Roll,-136.8,0,0,0.1,-45,0,-136.8,15,13,2,0
Roll,-133.2,0,0,0.1,-45,0,-133.2,16,13,3,0
Roll,-129.6,0,0,0.1,-45,0,-129.6,16,13,3,0
Roll,-126,0,0,0.1,-45,0,-126,16,13,3,0
Roll,-122.4,0,0,0.1,-45,0,-122.4,15,12,3,0
Roll,-118.8,0,0,0.1,-45,0,-118.8,14,12,2,0
Roll,-115.2,0,0,0.1,-45,0,-115.2,15,12,3,0
Roll,-111.6,0,0,0.1,-45,0,-111.6,15,12,3,0
Roll,-108,0,0,0.1,-45,0,-108,16,12,4,0
Roll,-104.4,0,0,0.1,-45,0,-104.4,16,12,4,0
Roll,-100.8,0,0,0.1,-45,0,-100.8,14,11,3,0
Roll,-97.2,0,0,0.1,-45,0,-97.2,13,11,2,0
Roll,-93.6,0,0,0.1,-45,0,-93.6,13,10,3,0
Roll,-90,0,0,0.1,-45,0,-90,14,10,4,0
Roll,-86.4,0,0,0.1,-45,0,-86.4,13,10,3,0
Roll,-82.799995,0,0,0.1,-45,0,-82.799995,13,11,2,0
Roll,-79.2,0,0,0.1,-45,0,-79.2,14,11,3,0
Roll,-75.600006,0,0,0.1,-45,0,-75.600006,16,12,4,0
Roll,-71.99999,0,0,0.1,-45,0,-71.99999,16,12,4,0
Roll,-68.4,0,0,0.1,-45,0,-68.4,15,12,3,0
Roll,-64.8,0,0,0.1,-45,0,-64.8,15,12,3,0
Roll,-61.199997,0,0,0.1,-45,0,-61.199997,14,12,2,0
Roll,-57.6,0,0,0.1,-45,0,-57.6,15,12,3,0
Roll,-54,0,0,0.1,-45,0,-54,16,13,3,0
Roll,-50.399994,0,0,0.1,-45,0,-50.399994,16,13,3,0
Roll,-46.800003,0,0,0.1,-45,0,-46.800003,16,13,3,0
Roll,-43.199997,0,0,0.1,-45,0,-43.199997,15,13,2,0
Roll,-39.600006,0,0,0.1,-45,0,-39.600006,15,13,2,0
Roll,-36,0,0,0.1,-45,0,-36,15,13,2,0
Roll,-32.399994,0,0,0.1,-45,0,-32.399994,16,12,4,0
Roll,-28.800003,0,0,0.1,-45,0,-28.800003,17,12,5,0
Roll,-25.199997,0,0,0.1,-45,0,-25.199997,15,13,2,0
Roll,-21.600006,0,0,0.1,-45,0,-21.600006,15,13,2,0
Roll,-18,0,0,0.1,-45,0,-18,17,12,5,0
Roll,-14.399994,0,0,0.1,-45,0,-14.399994,17,12,5,0
Roll,-10.800003,0,0,0.1,-45,0,-10.800003,17,13,4,0
Roll,-7.199997,0,0,0.1,-45,0,-7.199997,16,13,3,0
Roll,-3.5999908,0,0,0.1,-45,0,-3.5999908,15,12,3,0
Roll,0,0,0,0.1,-45,0,0,16,12,4,0
Roll,3.5999908,0,0,0.1,-45,0,3.5999908,15,12,3,0
Roll,7.199997,0,0,0.1,-45,0,7.199997,16,13,3,0
Roll,10.799988,0,0,0.1,-45,0,10.799988,17,13,4,0
Roll,14.400009,0,0,0.1,-45,0,14.400009,17,12,5,0
Roll,18,0,0,0.1,-45,0,18,17,12,5,0
Roll,21.600006,0,0,0.1,-45,0,21.600006,15,13,2,0
Roll,25.199997,0,0,0.1,-45,0,25.199997,15,13,2,0
Roll,28.799988,0,0,0.1,-45,0,28.799988,17,12,5,0
Roll,32.399994,0,0,0.1,-45,0,32.399994,16,12,4,0
Roll,36.000015,0,0,0.1,-45,0,36.000015,15,13,2,0
Roll,39.600006,0,0,0.1,-45,0,39.600006,15,13,2,0
Roll,43.199997,0,0,0.1,-45,0,43.199997,15,13,2,0
Roll,46.800003,0,0,0.1,-45,0,46.800003,16,13,3,0
Roll,50.399994,0,0,0.1,-45,0,50.399994,16,13,3,0
Roll,53.999985,0,0,0.1,-45,0,53.999985,16,13,3,0
